State,Year,CVD_Death,Death_LL,Death_UL,CVD_Prevalence,Prev_LL,Prev_UL,CVD_Incidence,Inci_LL,Inci_UL
Delhi,2019,28696.4295073598,24408.2771564795,33194.97891816,918656.631469161,854741.642811269,981844.996812918,108418.725200112,99234.8397786703,118090.24388949
Goa,2011,3154.3033821159,2621.45322408364,3762.50618906822,81224.4748966129,75751.2597663295,86625.3203599349,9660.47517150877,8812.206967956,10600.8474255537
Goa,2012,3266.9718512535,2696.81745279729,3849.62894139152,84376.9921910768,78994.7474558425,90016.8110790661,10011.0993010524,9122.26877255913,10948.8698549328
Goa,2013,3421.12281574166,2777.32593373163,4042.34721002736,87545.7283967064,81931.0349625453,93225.298112616,10364.7748149665,9449.01512010212,11308.1326001283
Goa,2014,3496.86404496275,2825.64413118639,4138.59776733305,90637.4114384603,85035.6948395998,96526.8525038487,10710.1416061984,9768.01563344023,11668.8245986364
Goa,2015,3543.24622179719,2926.92948665973,4207.81330542219,93531.5451898967,87693.4486142415,99587.3809052622,11040.259311121,10066.7850012078,12022.782473073
Goa,2016,3597.81538110451,2904.22286393123,4263.93639035407,96317.1622018104,90239.0309090078,102379.300622968,11314.2428656844,10333.3362472637,12344.6260492207
Goa,2017,3686.15054642083,2917.88735998115,4422.84405216139,99058.3743143613,92611.6300400013,105739.716161337,11600.6176593879,10592.68611765,12664.2320610332
Goa,2018,3857.80491776405,3065.73520550572,4727.07339335327,101796.15964705,94810.5345658426,108662.61096959,11972.4020789499,10917.7031563311,13114.7313666002
Goa,2019,3968.90409425886,3123.80652008575,4808.16426102639,104271.934606195,97064.1101137964,111172.504037879,12355.5827428853,11248.9814121487,13580.1864583395
Gujarat,2011,99536.3303730432,91445.7739978694,109334.793884083,2587558.93725817,2404280.19878543,2771383.86365938,330831.427530343,305503.26710985,357800.532828403
Gujarat,2012,103861.741061424,95542.4552557574,113210.714672445,2714898.68503803,2529280.68184178,2909609.59109603,347039.203604836,320560.151919511,375247.292647411
Gujarat,2013,107952.496177278,100010.681382056,117029.456727752,2846122.32642904,2652060.10408596,3046960.21335206,364371.518012774,337374.359089264,393108.30734084
Gujarat,2014,111340.892178801,102040.519018984,120894.310688021,2973694.56394557,2779735.71997743,3185500.45811543,381334.674716924,353134.697014879,411013.943948638
Gujarat,2015,119198.611073736,108735.314221105,129392.808140364,3091882.31272219,2893336.7126228,3310428.64806098,396327.44517133,366812.001036996,426809.528951187
Gujarat,2016,125819.943833383,113018.415853315,138717.499559127,3202990.31686301,2990593.75118796,3426069.14915293,405489.733685566,374448.848451252,437306.084922204
Gujarat,2017,129519.167192642,113869.726504847,146963.171049934,3309119.19331986,3080063.12476414,3540929.64463972,414609.721679098,380139.795528895,451427.015468461
Gujarat,2018,135346.977361792,115720.603417004,157897.862407387,3407724.41832442,3170728.89470652,3641045.12955636,428599.709142806,393540.577655395,464985.945504456
Gujarat,2019,138462.303068588,114188.952377847,164175.07537141,3494794.9294520402,3257533.29164337,3734801.23713323,442275.614283065,407130.127276423,480125.714455548
Haryana,2011,45214.1773464617,41290.495941612,50845.0889280886,1118392.58457013,1040089.22734297,1200720.88032218,141602.489504527,129953.548502625,153496.943813453
Haryana,2012,47310.7697554086,43601.6466073715,51907.3997192321,1169950.77375368,1089159.80165114,1252897.65637522,147543.821682153,135810.423960572,159704.383384401
Haryana,2013,49388.5676681611,45384.1470592445,54432.6043518901,1223188.97738491,1143692.96662848,1308192.79061767,153770.055002714,141580.026037892,166421.972339473
Haryana,2014,49592.0191838124,45341.1722581982,54446.9833171138,1274510.36033386,1192180.6907512,1361723.18044519,159812.007946287,147542.282341564,172716.923929338
Haryana,2015,49183.2396057975,45125.2517579249,53708.1176268964,1321328.39243626,1234036.55747252,1412701.37390706,165210.537187967,152728.203170488,178480.988413947
Haryana,2016,49326.4703486396,44812.2318806893,54661.1167175825,1363830.8591594,1275295.49278067,1456955.0995266,168351.047060411,155372.202324615,181466.042366269
Haryana,2017,49964.0132089374,44214.5982020705,57040.2498572353,1403860.40799431,1307375.71921749,1504528.82542056,171497.094572356,157729.231976958,186146.620166094
Haryana,2018,49882.1856514575,42889.6218459287,58789.7312707732,1442216.5764199,1340722.48035782,1541375.4819613,176699.996824659,162399.706124501,191030.630377533
Haryana,2019,50620.934055081,42201.8327456737,59994.1146637238,1477009.11591538,1374449.5086219,1585434.22123935,181854.81658078,167202.649269953,196605.678446559
Himachal Pradesh,2011,11098.500020648,9945.24960171432,13594.126475507,364602.526083107,339835.386637983,390034.773138167,43852.8290810599,40087.8083725722,47802.3200261971
Himachal Pradesh,2012,11461.7931422016,10256.5347518558,14026.2660845084,378712.809214645,353291.770910104,405086.665075181,45432.6299168612,41588.5620972961,49571.3121422851
Himachal Pradesh,2013,12504.856323002,11281.7639677246,14946.2254959736,393350.883099851,367762.021757872,419741.648984645,47079.7715382715,43209.1862041759,51269.2646984003
