State,Year,Forecasted_CVD_Deaths,Lower_80,Upper_80,Lower_95,Upper_95
Jharkhand,2025,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2026,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2027,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2028,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2029,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Jharkhand,2030,43658.246555023456,40759.45053380704,46557.04257623987,39224.92061413727,48091.57249590964
Karnataka,2020,175902.0174642841,172315.15883708288,179488.8760914853,170416.39057578376,181387.6443527844
Karnataka,2021,181170.52697406014,176097.94285715726,186243.111090963,173412.67903022448,188928.3749178958
Karnataka,2022,186439.0364838362,180226.41510195695,192651.65786571542,176937.65200158767,195940.4209660847
Karnataka,2023,191707.54599361226,184533.82873920986,198881.26324801467,180736.29221661162,202678.7997706129
Karnataka,2024,196976.0555033883,188955.59578728484,204996.5152194918,184709.82088150096,209242.29012527567
Karnataka,2025,202244.56501316436,193458.59159702167,211030.53842930705,188807.57821704724,215681.5518092815
Karnataka,2026,207513.07452294044,198023.13860741953,217003.01043846135,192999.46999067956,222026.67905520133
Karnataka,2027,212781.5840327165,202636.41579891072,222926.75226652226,197265.88814504514,228297.27992038784
Karnataka,2028,218050.09354249254,207289.51766088893,228810.66942409615,201593.2128769916,234506.97420799348
Karnataka,2029,223318.60305226862,211975.96014528803,234661.2459592492,205971.5276907451,240665.67841379213
Karnataka,2030,228587.11256204467,216690.84831956902,240483.37680452032,210393.34643300436,246780.87869108497
Kerala,2020,106036.33829778699,103784.4982174061,108288.17837816788,102592.44608529161,109480.23051028237
Kerala,2021,109838.97320840998,104803.70571421973,114874.24070260023,102138.19611408816,117539.7503027318
Kerala,2022,113641.60811903297,105215.99404844221,122067.22218962373,100755.74338289638,126527.47285516956
Kerala,2023,117444.24302965596,105110.4069504674,129778.07910884453,98581.26852565502,136307.2175336569
Kerala,2024,121246.87794027895,104546.78494297687,137946.97093758103,95706.28972425018,146787.46615630772
Kerala,2025,125049.51285090194,103568.32757092983,146530.69813087405,92196.87498136313,157902.15072044075
Kerala,2026,128852.14776152493,102208.0166128954,155496.27891015448,88103.46557448868,169600.82994856118
Kerala,2027,132654.7826721479,100492.07313901938,164817.49220527645,83466.16316984424,181843.40217445156
Kerala,2028,136457.41758277087,98441.98166433387,174472.85350120786,78317.82549771576,194597.00966782597
Kerala,2029,140260.05249339383,96075.75955088122,184444.34543590643,72686.00773547488,207834.09725131278
Kerala,2030,144062.6874040168,93408.79736296908,194716.5774450645,66594.247720034,221531.12708799957
Madhya Pradesh,2020,148988.96744050033,146798.0265573582,151179.90832364248,145638.21251290585,152339.7223680948
Madhya Pradesh,2021,153342.97900025366,150244.52068895637,156441.43731155095,148604.29593746108,158081.66206304624
Madhya Pradesh,2022,157696.990560007,153902.16963402496,161491.81148598902,151893.3127817016,163500.6683383124
Madhya Pradesh,2023,162051.00211976032,157669.12035347603,166432.8838860446,155349.4922645714,168752.51197494924
Madhya Pradesh,2024,166405.01367951368,161505.92093012444,171304.10642890292,158912.49788547007,173897.52947355728
Madhya Pradesh,2025,170759.025239267,165392.33801896602,176125.712459568,162551.38541354417,178966.66506498985
