State,Year,Forecasted_CVD_DALY,Lower_80,Upper_80,Lower_95,Upper_95
Karnataka,2026,4215654.985673055,3708419.2111337804,4722890.760212329,3439904.811824387,4991405.159521723
Karnataka,2027,4191152.780265347,3578857.4575050366,4803448.103025657,3254727.892826223,5127577.667704471
Karnataka,2028,4166650.574857639,3442934.384790455,4890366.764924823,3059822.17583224,5273478.973883038
Karnataka,2029,4142148.369449931,3300992.997253891,4983303.741645971,2855712.2405954297,5428584.498304432
Karnataka,2030,4117646.1640422232,3153326.2916819025,5081966.036402544,2642846.1870320803,5592446.141052366
Kerala,2020,2679972.5288510476,2628208.2961279643,2731736.761574131,2600805.966574266,2759139.091127829
Kerala,2021,2722814.4892284647,2649608.809265643,2796020.1691912864,2610856.0631701862,2834772.915286743
Kerala,2022,2765656.449605882,2675998.168514682,2855314.7306970824,2628535.941481931,2902776.957729833
Kerala,2023,2808498.4099832997,2704969.9445371325,2912026.875429467,2650165.2854297366,2966831.5345368627
Kerala,2024,2851340.3703607167,2735592.027188783,2967088.7135326504,2674318.5555648627,3028362.1851565707
Kerala,2025,2894182.3307381338,2767386.3736398993,3020978.287836368,2700264.6484697517,3088100.013006516
Kerala,2026,2937024.2911155513,2800069.0045222,3073979.5777089023,2727569.25517928,3146479.3270518226
Kerala,2027,2979866.2514929688,2833454.8915673248,3126277.6114186128,2755949.3993764115,3203783.103609526
Kerala,2028,3022708.211870386,2867415.5137011353,3178000.9100396363,2785208.525040041,3260207.8987007304
Kerala,2029,3065550.1722478033,2901857.295511839,3229243.0489837676,2815203.5209276085,3315896.823567998
Kerala,2030,3108392.1326252203,2936709.595122115,3280074.6701283255,2845826.349610832,3370957.9156396086
Madhya Pradesh,2020,4639992.38342082,4585861.032808324,4694123.734033316,4557205.626736615,4722779.140105026
Madhya Pradesh,2021,4748778.679956321,4672225.389770555,4825331.970142086,4631700.525868637,4865856.834044005
Madhya Pradesh,2022,4857564.97649182,4763806.7269486515,4951323.226034989,4714174.107720935,5000955.845262705
Madhya Pradesh,2023,4966351.27302732,4858088.571802327,5074613.974252313,4800777.75965891,5131924.78639573
Madhya Pradesh,2024,5075137.569562821,4954096.189879404,5196178.949246237,4890020.753980203,5260254.385145439
Madhya Pradesh,2025,5183923.86609832,5051329.67801001,5316518.05418663,4981138.554762073,5386709.177434567
Madhya Pradesh,2026,5292710.16263382,5149492.070781111,5435928.25448653,5073676.9925978,5511743.332669841
Madhya Pradesh,2027,5401496.459169321,5248389.87879779,5554603.0395408515,5167340.150993952,5635652.76734469
Madhya Pradesh,2028,5510282.75570482,5347888.703867331,5672676.807542309,5261922.485652205,5758643.025757436
Madhya Pradesh,2029,5619069.0522403205,5447890.691483681,5790247.41299696,5357274.3410200635,5880863.7634605775
Madhya Pradesh,2030,5727855.348775821,5548321.969398996,5907388.728152646,5453282.739243865,6002427.958307777
Maharashtra,2020,7522393.028451813,7356434.415415825,7688351.641487801,7268581.232485156,7776204.824418471
Maharashtra,2021,7696764.554719126,7462063.633371003,7931465.476067249,7337820.470572806,8055708.638865446
Maharashtra,2022,7871136.080986438,7583687.331254444,8158584.830718433,7431521.1548118815,8310751.007160995
Maharashtra,2023,8045507.607253751,7713590.381181774,8377424.833325728,7537884.015320435,8553131.199187066
Maharashtra,2024,8219879.133521063,7848784.39332101,8590973.873721115,7652338.70424831,8787419.562793817
Maharashtra,2025,8394250.659788376,7987736.739430199,8800764.580146551,7772541.268970671,9015960.05060608
Maharashtra,2026,8568622.186055688,8129536.968033261,9007707.404078115,7897099.294113246,9240145.077998132
Maharashtra,2027,8742993.712323,8273591.869626754,9212395.555019246,8025105.544030361,9460881.88061564
Maharashtra,2028,8917365.238590313,8419489.399482347,9415241.07769828,8155929.850690341,9678800.626490286
Maharashtra,2029,9091736.764857626,8566929.55034139,9616543.979373861,8289113.392585049,9894360.1371302
Maharashtra,2030,9266108.291124938,8715685.84095678,9816530.741293097,8424309.796537295,10107906.785712581
Manipur,2020,155489.4090619248,153569.66212314324,157409.15600070634,152553.40948094506,158425.4086429045
Manipur,2021,159800.86573887258,157085.93358172348,162515.7978960217,155648.7353123293,163952.99616541585
Manipur,2022,164112.32241582038,160787.2231801759,167437.42165146486,159027.02197056255,169197.6228610782
Manipur,2023,168423.7790927682,164584.2852152051,172263.2729703313,162551.77993080876,174295.77825472766
Manipur,2024,172735.23576971598,168442.5511150033,177027.92042442865,166170.1411247344,179300.33041469756
Manipur,2025,177046.6924466638,172344.29201137897,181749.09288194863,169854.99158823825,184238.39330508935
Manipur,2026,181358.14912361157,176278.97614341803,186437.3221038051,173590.22438294935,189126.07386427379
Manipur,2027,185669.6058005594,180239.7414862612,191099.4701148576,177365.34494747288,193973.8666536459
Manipur,2028,189981.0624775072,184221.82166116254,195740.30329385184,181173.063734568,198789.0612204464
Manipur,2029,194292.519154455,188221.74629676944,200363.29201214053,185008.07326925907,203576.9650396509
Manipur,2030,198603.9758314028,192236.895543031,204971.05611977458,188866.36683665233,208341.58482615324
